Price,Close,High,Low,Open,Volume
Ticker,ITC.BO,ITC.BO,ITC.BO,ITC.BO,ITC.BO
Date,,,,,
2019-02-18,220.3684844970703,226.79908057668294,220.04695959924513,225.4727750414183,775398
2019-02-19,221.13211059570312,224.06606492534175,220.2478987965691,220.3684675576384,294348
2019-02-20,221.7349853515625,223.7847279414119,220.24790517325212,223.0612908232754,441211
2019-02-21,220.9713592529297,222.6593956786709,220.3283094387321,221.8555711455349,375657
2019-02-22,220.4890594482422,221.8555709657774,219.64505350144447,221.8555709657774,774462
2019-02-25,222.45840454101562,222.8201353363188,219.68520052575565,221.05171182937414,497360
2019-02-26,221.0115509033203,222.45842515707199,220.28808924566806,221.8555567962127,544201
2019-02-27,221.0919189453125,224.06607940806217,220.12734426363636,222.25747428279527,480774
2019-02-28,221.97613525390625,222.5790036410873,220.52926093698272,222.4182534563055,480004
2019-03-01,223.3024444580078,223.98570021416256,221.93595747647618,222.65939464679033,689752
2019-03-05,227.20103454589844,227.96467778286868,222.01638022327163,224.34746682396457,655473
2019-03-06,229.4517059326172,232.224885649657,228.6880628699501,228.6880628699501,911239
2019-03-07,233.14930725097656,233.8325630431996,229.57230262473925,229.8134401839807,530053
2019-03-08,234.75694274902344,235.64115463281112,232.46606247705324,233.87275539601347,535240
2019-03-11,235.5205535888672,236.88706490664134,234.03347351500102,234.7167291738881,395307
2019-03-12,236.76644897460938,237.5702733127079,235.5607124674616,235.5607124674616,410934
2019-03-13,236.96743774414062,238.6554739931334,236.48516269937878,237.9320368952152,446651
2019-03-14,237.4899139404297,237.93200752047295,233.35019891469543,233.35019891469543,365819
2019-03-15,233.8727569580078,238.5349294225313,232.707201576488,237.93206102466476,346969
2019-03-18,234.91769409179688,236.4047742214586,233.9933008860424,233.9933008860424,774208
2019-03-19,240.6650390625,241.14733864594706,235.80191087878373,236.72630410410468,530965
2019-03-20,239.94161987304688,242.43348079798446,238.45453960084396,241.1473566563285,578598
2019-03-22,239.2985382080078,241.46884941049845,238.17316440215222,241.14732455058586,535677
2019-03-25,237.28900146484375,238.73587574797526,235.88230859427486,238.73587574797526,282408
2019-03-26,235.68138122558594,238.17321784714602,234.07373203449947,237.1282556852518,406096
2019-03-27,235.5205535888672,238.21337028520193,234.51577307014335,235.5205535888672,416515
2019-03-28,241.1473388671875,242.35307556152344,235.64113639023157,237.08803514190018,703876
2019-04-01,238.97702026367188,240.74544402205478,238.3339704592295,238.93683884993584,303844
2019-04-02,238.81626892089844,240.90621757137683,236.88709498614048,238.7358815630382,455872
2019-04-03,237.8114471435547,239.90139543256294,237.12819151608252,239.37888996223094,428073
2019-04-04,236.726318359375,238.6554922785591,236.28422469087894,237.89187371199523,183480
2019-04-05,236.8468780517578,237.93204600557365,235.31961644639082,237.28899623408535,2110638
2019-04-08,235.15884399414062,237.1282238007285,234.47561280442082,235.92248706953836,374984
2019-04-09,238.21337890625,238.4947223678295,235.03826253986406,235.15883130031946,849108
2019-04-10,236.32440185546875,238.4143504515024,235.88230819492063,236.76649551601687,537159
2019-04-11,238.1731719970703,238.93681502814147,235.52056115473658,237.08802862660892,829068
2019-04-12,245.64877319335938,246.29182298389463,237.61052815778334,238.2535779483186,4545577
2019-04-15,245.2066650390625,249.18560630691974,244.6440025819976,246.77413269749792,554033
2019-04-16,246.81427001953125,248.98460569259947,246.05065156476556,247.41713831418647,447505
2019-04-18,244.64401245117188,247.57796722150468,243.8803692984043,247.01528021096235,397772
2019-04-22,242.5138702392578,245.28705014615724,241.9511832565825,244.64400033519507,466714
2019-04-23,243.84014892578125,244.84492947638134,242.4736375646551,244.1214923861043,535808
2019-04-24,246.33201599121094,246.93488433721902,240.1023764157941,243.55881178726344,384525
2019-04-25,244.76455688476562,248.94445403960756,243.2774766740559,246.3320244505255,562411
2019-04-26,244.88514709472656,246.13108988016043,243.27749797606003,245.88992779389318,195059
2019-04-30,242.3932647705078,247.13584887875913,241.26791539241196,245.1664690690089,415423
2019-05-02,244.88514709472656,246.1712712958156,240.34354324064932,242.75501691864915,2180861
2019-05-03,244.0410614013672,247.05540251420334,243.47837458132946,244.36258621391556,441625
2019-05-06,246.7740936279297,247.17600583253542,241.9109657645098,244.36262040029519,432631
2019-05-07,243.03634643554688,248.8238682112482,242.31290927993138,247.6583373857503,598639
2019-05-08,241.75021362304688,243.71959342164664,240.0219958881729,241.83060097762214,166758
2019-05-09,240.98655700683594,242.19229366537067,238.21337741067106,241.1473317069506,684474
2019-05-10,239.2985382080078,241.58941816661886,238.69566989663133,240.9865498552424,459081
2019-05-13,232.98854064941406,243.96074037632906,231.50146039005853,237.9320565120046,1253454
2019-05-14,236.32440185546875,239.29856230337552,232.30527937493355,234.07370307867978,796423
2019-05-15,238.81626892089844,240.54448672639455,235.4401961369889,239.29856853728228,632706
2019-05-16,236.8870849609375,240.34352042565135,235.72152964823496,240.34352042565135,403360
2019-05-17,242.2726593017578,242.95591491984578,237.1281882592374,238.05258137511035,551304
2019-05-20,246.7740936279297,247.2161872406863,242.95592768417507,245.1664448095067,434663
2019-05-21,245.40757751464844,249.06499322340963,245.04587125605033,246.77408879586008,682014
2019-05-22,245.40757751464844,248.1930617040934,243.15462853896125,248.1930617040934,665433
2019-05-23,236.3548583984375,250.3231337901263,235.20790741347307,249.79062351157026,1376811
2019-05-24,237.70664978027344,239.22227536080214,235.53563070626925,239.22227536080214,682128
2019-05-27,237.91146850585938,240.4921148193859,236.9693309630366,239.22228052275435,621108
2019-05-28,236.76446533203125,238.97646168700604,236.10907196845204,238.60778729395884,437569
2019-05-29,236.23194885253906,238.81259453067014,235.9042521794143,237.54276054669162,365088
2019-05-30,236.84645080566406,238.32109871731276,236.10912684983973,237.21510028274622,245478
2019-05-31,228.2852325439453,238.77170381828333,227.67079174667916,236.76452054654993,1062006
2019-06-03,228.2032470703125,230.74294008687025,225.66357905540875,230.21042985799218,738020
2019-06-04,229.1044158935547,231.15255124930192,228.48997528683054,229.14539360166103,492711
2019-06-06,226.19613647460938,230.21047788580944,225.7045788524573,230.21047788580944,407457
2019-06-07,226.03224182128906,226.85149606855845,224.88529087544305,226.23705538310642,404021
2019-06-10,229.06349182128906,229.80081564119712,227.0153562095137,227.75268002942175,1670972
2019-06-11,229.39120483398438,230.62008628845214,228.89964725186584,229.63697112421505,274213
2019-06-12,229.39120483398438,230.94778300931213,227.95750980377198,230.94778300931213,322202
2019-06-13,229.268310546875,230.4152615149739,228.20326500376777,229.30926325937085,551687
2019-06-14,227.71176147460938,229.9647109855047,227.1382734166269,229.9647109855047,556112
2019-06-17,225.54071044921875,228.57196151658957,224.8443642595451,228.57196151658957,936447
2019-06-18,225.7864990234375,227.58884355383174,224.47568709118653,226.5238229223105,1090704
2019-06-19,227.22018432617188,228.49001848615467,225.70455887603768,226.11418602463303,595835
2019-06-20,227.05633544921875,228.0394506583954,225.58168763711214,228.0394506583954,515190
2019-06-21,224.68048095703125,227.67075400772347,223.9431571228635,227.67075400772347,940742
2019-06-24,226.35997009277344,227.0973190194864,224.47569506189555,224.47569506189555,430833
2019-06-25,227.95750427246094,229.35024655439287,224.84434799734512,225.8684158512196,662361
2019-06-26,227.22018432617188,228.285204911857,226.56476588742512,228.1623217676098,475462
2019-06-27,224.10704040527344,227.87561580175745,223.61550774623478,227.75273263699776,516338
2019-06-28,224.43472290039062,225.62262662071285,223.36967732166465,224.63953647303137,515331
2019-07-01,225.1720428466797,226.4009242611586,224.55760213944023,225.2129955598331,476766
2019-07-02,224.27088928222656,226.03228122054952,223.90221480603017,225.41784042799546,701564
2019-07-03,226.6876983642578,227.3430918716925,223.04200634979563,225.29495590888448,561326
2019-07-04,227.5069122314453,228.24423604641026,225.58165976895242,228.24423604641026,629302
2019-07-05,228.94058227539062,230.90678723555163,219.64204267023572,226.93339960672787,1975803
2019-07-08,227.17919921875,231.80800584859887,226.03224824033197,230.7429602959094,700919
2019-07-09,223.6973419189453,228.16228716209648,223.20580941650755,228.16228716209648,620321
2019-07-10,223.9431610107422,225.41780870467903,221.93597803687496,225.13106470817567,513652
2019-07-11,225.868408203125,226.8514983085623,224.2298996924071,224.2298996924071,518641
2019-07-12,225.25396728515625,227.3430556335591,223.82027233971937,227.3430556335591,381208
2019-07-15,221.93594360351562,225.78644809822634,221.60824694477805,225.37682102439126,1277244
2019-07-16,222.7552490234375,223.4516202095735,221.73118110313698,222.0588778373015,291392
2019-07-17,223.49256896972656,223.82029069974837,221.77215489540094,222.8371755129985,209776
2019-07-18,223.61546325683594,225.21299408419736,223.0829279793926,224.0660431051967,210706
2019-07-19,219.88783264160156,224.59854451358783,219.6010886577583,224.06603425882477,547126
2019-07-22,216.61080932617188,219.88782618436406,216.32406535074918,219.88782618436406,305428
2019-07-23,221.7721405029297,222.67330019703329,217.0204507442221,217.92163543998183,388580
2019-07-24,221.89503479003906,223.8612401330537,219.56015500698405,221.7721516439114,275031
2019-07-25,219.5601043701172,223.2467479136453,218.7818029547117,222.01786673246926,708067
2019-07-26,221.4444122314453,221.93596977835153,218.74088322594412,221.03478510929935,195927
2019-07-29,219.31436157226562,222.01789045911337,218.33124652160043,220.82996185636415,205536
2019-07-30,220.37937927246094,221.11670305036512,218.3312437773637,220.01070488268184,862765
2019-07-31,221.2396240234375,221.97697292912142,217.96260667073835,219.56016263084248,1884945
2019-08-01,219.23243713378906,221.97694380694173,218.41318290309601,221.64922211334053,200393
2019-08-02,216.77468872070312,219.56014828820727,215.62773772251398,219.56014828820727,480524
2019-08-05,212.637451171875,217.430093998673,211.03992023071436,217.430093998673,474444
2019-08-06,212.1049346923828,214.23500088700186,211.44954124864955,212.59649227601142,453465
2019-08-07,207.8857879638672,212.55554768430997,207.31231242827062,212.06399008189626,513510
2019-08-08,211.1627960205078,211.94109760689125,207.2303728767012,208.29540596785301,514209
2019-08-09,208.29539489746094,212.18685261924242,207.76288463060095,212.18685261924242,519113
2019-08-13,201.61846923828125,208.41826928709105,200.0618787144118,208.41826928709105,629841
2019-08-14,203.87142944335938,207.72192199998392,200.06188959944248,201.20885307430234,394762
